"Run";"Treatment";"Site";"LC50_Temperature";"LC50_Std_Error"
"Summer";"Yes";"1";24,59;1,61
"Summer";"Yes";"2";24,57;1,79
"Summer";"Yes";"5";24,41;1,62
"Summer";"Yes";"6";26,51;1,61
