"Run";"Treatment";"Site";"LC50_Temperature";"LC50_Std_Error"
"Winter";"Yes";"1";28,74;0,65
"Winter";"Yes";"2";24,41;1,94
"Winter";"Yes";"5";26,9;1,19
"Winter";"Yes";"6";26,76;1,25
